Date,N+1 Close / N Close,Yesterday's sign,%b of prior day close,Open Position to yesterday's range,N-1 Magnitude,N Close / N's range,10-MA,N Magnitude,HSI Open (N),HSI Close (N),Close Above yesterday's DH,DL Lower than yesterday's DL,DL Higher than yesterday's DL,Deviation of 10-MA / 20-MA slopes,"BB Divert or converge
(3-day)","BB Divert or converge
(5-day)",BB10 Upper Slope (3-day),BB10 Lower Slope (3-day),Stock Crash,Change RMB / USD
28/2/2000,-0.02983,1.00000,0.05960,0.24126,0.03912,0.21844,-0.01211,0.05588,17434.72070,16984.43945,0.00000,1.00000,0.00000,0.52548,0.58865,-0.03575,0.01417,-0.04091,-0.01307,1
29/2/2000,-0.01050,1.00000,-0.05157,0.20335,0.05588,0.82967,-0.01045,0.02195,17140.21094,17169.43945,0.00000,0.00000,1.00000,0.44829,0.63678,0.52286,0.02110,-0.04541,0.00351,1
1/3/2000,0.02765,0.00000,0.14089,0.82967,0.02195,0.09681,-0.01341,0.04013,17267.26953,16843.58984,0.00000,1.00000,0.00000,0.55883,0.30989,1.08095,0.00874,-0.03908,0.03661,1
2/3/2000,0.01708,1.00000,0.08637,0.11395,0.04013,0.21382,-0.01971,0.02961,16996.06055,16936.81055,0.00000,1.00000,0.00000,0.83023,0.25897,1.06067,0.00206,-0.04552,0.08326,1
3/3/2000,0.04862,1.00000,0.13107,0.21382,0.02961,0.70382,-0.02760,0.04370,16903.55078,17285.24023,1.00000,0.00000,1.00000,1.36132,0.12163,0.46921,-0.01432,-0.04375,0.08324,1
6/3/2000,0.00309,0.00000,0.32793,0.68251,0.04370,0.56209,-0.02847,0.03202,17500.97070,17758.75977,1.00000,0.00000,1.00000,1.45200,-0.21404,-0.01050,-0.04668,-0.00580,0.03238,1
7/3/2000,-0.01171,0.00000,0.43989,0.55446,0.03202,0.97338,-0.01434,0.05021,17656.47070,17865.35938,1.00000,0.00000,1.00000,0.81795,-0.28436,-0.19731,-0.04168,0.01994,0.03537,1
8/3/2000,-0.00140,0.00000,0.74509,0.89447,0.05021,0.55525,-0.00475,0.03395,17687.58008,17951.42969,1.00000,0.00000,1.00000,0.38677,-0.24535,-0.40688,-0.02422,0.01848,0.02594,1
9/3/2000,0.01694,0.00000,0.84217,0.67523,0.03395,0.07799,-0.00344,0.03503,18031.77930,17637.02930,0.00000,0.00000,1.00000,0.37810,-0.23832,-0.45491,-0.02120,0.01748,0.00497,1
10/3/2000,0.02379,1.00000,0.77712,0.20359,0.03503,0.51200,0.00023,0.04291,17727.96094,17831.85938,0.00000,1.00000,0.00000,-0.03575,-0.06185,-0.29202,-0.00365,0.00467,-0.00980,1
13/3/2000,-0.03139,2.00000,0.75358,0.53127,0.04291,0.59307,0.00896,0.03047,17650.61914,17096.67969,0.00000,0.00000,1.00000,-4.58839,0.08294,-0.17514,0.01332,0.00403,-0.02133,1
14/3/2000,-0.03576,0.00000,0.80828,0.72554,0.03047,0.37757,0.01592,0.05228,17125.90039,16929.16016,1.00000,0.00000,1.00000,6.88047,0.23895,0.16232,0.02906,0.00102,-0.05486,1
15/3/2000,0.02883,0.00000,0.87558,0.35926,0.05228,0.12219,0.01619,0.03698,16847.30078,16747.19922,0.00000,1.00000,0.00000,15.93754,0.11777,0.21048,0.02258,0.00888,-0.05089,1
16/3/2000,-0.03161,1.00000,0.60998,0.13334,0.03698,0.09707,0.01298,0.04597,16775.23047,16359.00000,0.00000,1.00000,0.00000,-3.52941,-0.18454,0.01032,-0.00104,0.02931,-0.02049,1
17/3/2000,-0.01166,1.00000,0.29597,0.19414,0.04597,1.00000,0.01048,0.02409,16688.03906,17082.99023,0.00000,0.00000,1.00000,-1.19695,-0.38954,-0.31765,-0.01701,0.04236,-0.02582,1
20/3/2000,-0.00674,0.00000,0.47408,0.90379,0.02409,0.18732,0.00589,0.03619,16878.81055,17234.46094,0.00000,1.00000,0.00000,-0.52039,-0.35632,-0.47510,-0.01509,0.02962,0.00210,1
21/3/2000,0.01724,1.00000,0.06315,0.20724,0.03619,0.25508,-0.00470,0.02747,17253.03906,17199.98047,0.00000,1.00000,0.00000,0.49582,-0.03139,-0.40870,-0.00584,-0.00345,0.01921,1
22/3/2000,0.00382,1.00000,0.03222,0.36490,0.02747,0.18795,-0.01145,0.02190,17418.91016,17547.03906,0.00000,1.00000,0.00000,1.40452,0.23709,-0.20371,-0.00204,-0.02162,0.03668,1
23/3/2000,0.01497,1.00000,0.08277,0.18795,0.02190,1.00000,-0.00963,0.01724,17705.25977,17715.58008,0.00000,0.00000,1.00000,1.46406,0.15960,0.12320,-0.00259,-0.01731,0.04255,1
24/3/2000,0.02769,0.00000,0.29135,1.16264,0.01724,0.54453,-0.00633,0.01330,17768.06055,17784.57031,1.00000,0.00000,1.00000,2.05007,0.03843,0.28463,-0.00423,-0.00865,0.03078,1
27/3/2000,-0.01619,2.00000,0.35824,0.41556,0.01330,0.82019,-0.00608,0.02037,17827.71094,18292.85938,1.00000,0.00000,1.00000,-4.46129,-0.04994,0.10169,-0.00820,-0.00373,0.02602,1
28/3/2000,0.01234,0.00000,0.53441,0.82019,0.02037,0.98143,-0.00603,0.03138,18272.80078,18301.68945,1.00000,0.00000,1.00000,-1.24157,-0.32398,-0.29800,-0.02159,0.01122,-0.02197,1
29/3/2000,-0.00889,0.00000,0.98698,0.90546,0.03138,0.15588,-0.00407,0.02766,18203.13086,18096.36914,0.00000,0.00000,1.00000,-0.67582,-0.38625,-0.41690,-0.02178,0.01544,-0.06949,1
30/3/2000,-0.02775,1.00000,0.81035,0.15588,0.02766,0.62356,0.00251,0.02361,18011.14063,17467.15039,0.00000,0.00000,1.00000,0.32400,-0.00259,-0.32573,0.00234,0.00270,-0.06433,1
31/3/2000,-0.04467,0.00000,0.89229,0.60168,0.02361,0.25924,0.00368,0.01788,17383.63086,17406.53906,0.00000,0.00000,1.00000,0.51759,0.29200,-0.20703,0.01206,-0.00522,-0.02334,1
3/4/2000,0.04253,1.00000,0.73663,0.37056,0.01788,0.26543,0.00029,0.04441,17444.48047,16892.92969,0.00000,1.00000,0.00000,0.09284,0.11215,0.10927,0.00405,-0.00375,0.02322,1
5/4/2000,0.02516,1.00000,0.36614,0.13145,0.04441,0.16495,-0.00259,0.04643,16599.07031,16318.44043,0.00000,1.00000,0.00000,0.70816,0.27127,0.64249,0.00757,-0.01356,0.06933,1
6/4/2000,0.00399,1.00000,-0.02730,0.16495,0.04643,1.00000,-0.00118,0.04253,16416.48047,16491.39063,1.00000,0.00000,1.00000,0.18552,0.38809,0.54376,0.01333,-0.01686,0.08256,1
7/4/2000,0.01890,0.00000,0.37735,1.08491,0.04253,1.00000,0.00432,0.02163,16657.83984,16941.67969,1.00000,0.00000,1.00000,-1.58670,0.07692,0.36905,0.00772,0.00057,0.01892,1
10/4/2000,-0.00500,0.00000,0.58594,1.04650,0.02163,0.75994,0.00515,0.01705,17038.22070,16850.74023,1.00000,0.00000,1.00000,-8.30369,-0.00308,0.38382,0.00473,0.00562,0.00327,1
11/4/2000,-0.01257,2.00000,0.59810,0.84607,0.01705,0.63369,0.00560,0.04279,16683.40039,16487.66016,1.00000,0.00000,1.00000,-22.16420,0.04020,0.12021,0.00733,0.00368,-0.03058,1
12/4/2000,0.05672,0.00000,0.74301,0.57852,0.04279,0.07974,0.00274,0.02027,16391.11914,16577.08984,0.00000,0.00000,1.00000,-1.67015,0.11212,0.10870,0.00828,-0.00342,-0.02272,1
13/4/2000,-0.07975,2.00000,0.68265,-0.03344,0.02027,0.41124,-0.00017,0.01749,16345.25977,16352.55957,0.00000,1.00000,0.00000,0.07833,0.08164,0.12513,0.00406,-0.00488,0.07013,1
14/4/2000,0.10637,1.00000,0.57356,0.35768,0.01749,0.95446,0.00469,0.07069,16254.25977,16142.75977,1.00000,1.00000,0.00000,1.29994,-0.02001,0.08986,0.00331,0.00624,0.05665,1
17/4/2000,-0.00814,0.00000,1.02858,0.37103,0.07069,0.23675,0.00157,0.05557,15306.04981,14762.37012,0.00000,1.00000,0.00000,0.59986,-0.03880,0.03967,-0.00068,0.00410,0.08774,1
18/4/2000,-0.00837,1.00000,0.31733,0.50610,0.05557,0.93115,0.00718,0.09595,15158.15039,15278.32031,1.00000,0.00000,1.00000,1.91236,-0.01670,-0.03637,0.00588,0.00865,0.06029,1
19/4/2000,0.01358,0.00000,1.14378,1.07793,0.09595,0.07499,0.02392,0.04324,15558.51953,15427.20020,0.00000,0.00000,1.00000,2.23059,0.22047,0.17312,0.03444,0.01214,-0.02918,1
20/4/2000,-0.01069,1.00000,0.86773,0.05673,0.04324,0.30113,0.02231,0.02749,15425.82031,15367.13965,0.00000,1.00000,0.00000,2.09029,0.15301,0.13376,0.02928,0.01451,-0.02243,1
25/4/2000,-0.02426,1.00000,0.75091,0.09819,0.02749,0.64253,0.01625,0.03605,15335.88965,15380.00977,0.00000,1.00000,0.00000,1.56418,0.00132,0.22208,0.01531,0.01733,-0.01574,1
26/4/2000,0.00561,0.00000,0.78645,0.96441,0.03605,0.15041,0.01363,0.05017,15581.45020,15227.38965,0.00000,0.00000,1.00000,1.43781,0.10701,0.27639,0.01921,0.00729,-0.02029,1
27/4/2000,0.01824,1.00000,0.64991,0.14202,0.05017,0.09854,0.00771,0.03982,15225.16992,15192.87012,0.00000,1.00000,0.00000,1.15417,0.03103,0.03239,0.00916,0.00605,-0.01478,1
28/4/2000,-0.02602,1.00000,0.45854,0.11703,0.03982,0.52868,0.00442,0.02917,15291.05957,15519.29981,0.00000,1.00000,0.00000,1.22724,-0.02070,0.08410,0.00279,0.00629,0.00744,1
2/5/2000,0.00991,2.00000,0.47949,0.84698,0.02917,0.70061,0.00851,0.03946,15751.03027,15817.75977,1.00000,0.00000,1.00000,1.98918,-0.03578,-0.00586,0.00569,0.01173,-0.02248,1
3/5/2000,-0.00025,0.00000,0.57386,0.59320,0.03946,0.05890,0.00345,0.03416,15695.08984,15577.46973,0.00000,1.00000,0.00000,0.85080,-0.09691,-0.11560,-0.00292,0.01073,-0.02454,1
4/5/2000,-0.03211,1.00000,0.38174,-0.09651,0.03416,0.90436,0.00440,0.02957,15438.95996,15314.07031,0.00000,1.00000,0.00000,1.45388,-0.36127,-0.38413,-0.01791,0.02981,-0.00759,1
5/5/2000,0.00820,0.00000,0.36350,0.74270,0.02957,0.70269,0.00353,0.01304,15298.57031,15268.63965,0.00000,0.00000,1.00000,0.66473,-0.53686,-0.58174,-0.02749,0.03858,0.01861,1
8/5/2000,0.02677,2.00000,0.35080,0.72616,0.01304,0.04844,-0.00867,0.04100,15337.66016,14901.00000,0.00000,1.00000,0.00000,-1.21464,-0.32356,-0.56794,-0.02116,0.00490,0.13974,1
9/5/2000,0.10599,1.00000,-0.11892,0.03900,0.04100,0.60428,-0.00941,0.02145,14854.63965,14776.90039,0.00000,1.00000,0.00000,-1.54811,0.07066,-0.50414,-0.00722,-0.01173,0.19205,1
10/5/2000,0.03622,0.00000,0.11880,0.58288,0.02145,0.92221,-0.00659,0.03965,14652.66016,14492.91992,1.00000,0.00000,1.00000,-1.40908,0.03442,-0.30027,-0.00546,-0.00777,0.20525,1
12/5/2000,0.04738,0.00000,0.59694,1.16954,0.03965,0.97330,0.00636,0.10013,14438.66992,15111.94043,1.00000,0.00000,1.00000,0.63798,-0.04176,0.02594,0.00494,0.00786,0.13319,1
15/5/2000,-0.02166,0.00000,2.26786,0.98446,0.10013,0.68169,0.02464,0.05511,15117.75000,14881.29981,1.00000,0.00000,1.00000,1.52128,1.88376,1.98302,0.07766,-0.03158,0.06871,1
16/5/2000,0.02577,0.00000,1.25553,0.86109,0.05511,0.73813,0.03573,0.05892,14961.51953,15160.29004,1.00000,0.00000,1.00000,1.77411,3.47923,3.29217,0.13254,-0.06686,0.00371,1
17/5/2000,-0.01400,0.00000,1.11968,0.86479,0.05892,0.09040,0.03563,0.03727,15293.25977,14827.80957,0.00000,0.00000,1.00000,1.60380,0.94543,4.61018,0.10506,-0.04630,-0.06288,1
18/5/2000,-0.02464,1.00000,0.86393,-0.03416,0.03727,0.68999,0.03614,0.06119,14688.74023,14322.59961,0.00000,1.00000,0.00000,1.79699,0.37885,5.17618,0.07425,-0.01287,-0.07695,1
19/5/2000,-0.04540,0.00000,0.85657,0.68654,0.06119,0.06253,0.03844,0.04273,14338.75000,14478.25977,0.00000,0.00000,1.00000,1.76080,0.16879,1.27380,0.05595,0.01449,-0.12645,1
22/5/2000,-0.03045,1.00000,0.74043,0.05182,0.04273,0.08438,0.03249,0.03927,14278.50977,14140.73047,0.00000,1.00000,0.00000,1.75396,0.06416,0.46732,0.03701,0.02617,-0.11121,1
23/5/2000,-0.03643,1.00000,0.62247,0.10788,0.03927,0.16045,0.02741,0.06462,14117.12988,14257.17969,0.00000,1.00000,0.00000,2.71191,-0.10169,0.04993,0.00821,0.05473,-0.06053,1
24/5/2000,-0.00155,1.00000,0.44226,0.00330,0.06462,0.33142,0.02142,0.03132,14115.54004,13933.98047,0.00000,1.00000,0.00000,3.16328,-0.22710,-0.17751,-0.01498,0.07290,-0.02605,1
25/5/2000,0.03341,1.00000,0.28517,0.89168,0.03132,0.06147,0.01168,0.07336,14082.04981,13921.05957,0.00000,1.00000,0.00000,3.78960,-0.27780,-0.35125,-0.02668,0.06386,0.02916,1
26/5/2000,-0.01530,1.00000,0.07427,0.04185,0.07336,0.33601,-0.00364,0.03056,13845.44043,13722.70020,0.00000,1.00000,0.00000,-3.50987,-0.19007,-0.37400,-0.02506,0.02419,0.05008,1
29/5/2000,0.02282,2.00000,0.08182,0.54462,0.03056,0.97496,-0.01356,0.04240,13735.07031,13975.07031,1.00000,0.00000,1.00000,-3.19368,0.06462,-0.23113,-0.00588,-0.02313,0.09166,1
30/5/2000,0.03485,0.00000,0.28285,0.98244,0.04240,0.40229,-0.02039,0.04052,14044.04004,13990.90039,0.00000,0.00000,1.00000,-3.40455,0.13024,-0.08459,-0.00601,-0.03816,0.11174,1
31/5/2000,0.04444,1.00000,0.28270,0.72306,0.04052,0.55271,-0.02237,0.02232,14438.38965,14713.86035,0.00000,0.00000,1.00000,-4.28907,-0.06008,0.00066,-0.02634,-0.01734,0.08841,1
1/6/2000,0.00372,0.00000,0.40087,0.55271,0.02232,0.88892,-0.01752,0.03920,14652.90039,14941.19043,1.00000,0.00000,1.00000,-2.07514,-0.16355,-0.05462,-0.03337,0.00273,0.08454,1
2/6/2000,0.02586,0.00000,0.59801,1.18107,0.03920,1.00000,-0.01100,0.03519,15165.58008,15284.09961,1.00000,0.00000,1.00000,-0.83195,-0.27681,-0.32026,-0.03802,0.02291,0.04018,1
5/6/2000,-0.01805,0.00000,0.91305,1.37997,0.03519,0.28519,-0.00193,0.03660,15643.79004,15861.67969,1.00000,0.00000,1.00000,-0.12695,-0.21188,-0.34078,-0.02165,0.02236,0.02869,1
7/6/2000,0.01723,1.00000,0.93787,0.21422,0.03660,0.82732,0.00877,0.04004,15782.87012,15900.05957,0.00000,0.00000,1.00000,0.48395,0.16679,-0.15619,0.02085,-0.00548,0.02321,1
8/6/2000,0.00205,0.00000,0.97280,0.90658,0.04004,0.15292,0.01749,0.02910,15912.20996,15876.92969,0.00000,0.00000,1.00000,0.89803,0.35011,0.06405,0.04266,-0.01217,0.01036,1
9/6/2000,-0.00681,1.00000,0.78078,0.13167,0.02910,0.84983,0.02387,0.02608,15841.19043,16120.25977,0.00000,1.00000,0.00000,1.34924,0.18094,0.37791,0.03758,0.00725,0.02153,1
12/6/2000,0.00463,0.00000,0.78931,0.85605,0.02608,0.61877,0.02937,0.01244,16125.75000,16055.04981,0.00000,0.00000,1.00000,2.32195,0.02067,0.37802,0.02852,0.03043,0.03276,1
13/6/2000,0.02810,2.00000,0.73509,0.39829,0.01244,0.13366,0.02552,0.02209,15947.87012,15692.94043,0.00000,1.00000,0.00000,4.37627,-0.10138,0.06121,0.01290,0.04126,0.07162,1
14/6/2000,0.03877,2.00000,0.66771,0.25264,0.02209,0.56583,0.02332,0.01915,15761.42969,15857.07031,0.00000,1.00000,0.00000,15.20131,-0.25898,-0.24367,-0.00413,0.05740,0.04979,1
15/6/2000,0.01888,2.00000,0.65662,0.58750,0.01915,0.94417,0.02580,0.02975,15941.82031,16080.33984,1.00000,0.00000,1.00000,12.88030,-0.34402,-0.41053,-0.00681,0.06540,0.02959,1
16/6/2000,-0.03165,0.00000,0.81971,1.01391,0.02975,0.74936,0.02718,0.05240,16088.74023,16434.38086,1.00000,0.00000,1.00000,5.04824,-0.38290,-0.54272,-0.00249,0.06187,-0.00096,1
19/6/2000,-0.02087,0.00000,1.19462,0.69636,0.05240,0.58551,0.02554,0.03693,16332.69043,16267.46973,1.00000,0.00000,1.00000,3.22203,-0.01947,-0.35680,0.02292,0.02851,-0.03853,1
20/6/2000,0.00299,0.00000,1.11589,0.73087,0.03693,0.24178,0.01928,0.05403,16467.14063,16086.74023,0.00000,1.00000,0.00000,2.10128,0.30886,-0.19231,0.03224,0.00504,-0.00692,1
21/6/2000,-0.00085,1.00000,0.75751,0.28121,0.05403,0.04780,0.01065,0.02419,16071.19043,16238.13965,0.00000,1.00000,0.00000,1.09093,-0.02575,-0.04472,0.00862,0.01294,-0.00526,1
22/6/2000,0.02002,1.00000,0.55682,0.24647,0.02419,0.34599,0.00802,0.02319,16227.46973,15952.36035,0.00000,1.00000,0.00000,0.64242,-0.10684,0.16902,0.00150,0.01537,-0.00498,1
23/6/2000,-0.02308,2.00000,0.54162,0.22720,0.02319,0.40913,0.00832,0.02692,15827.28027,15738.08008,0.00000,1.00000,0.00000,0.53122,-0.16409,-0.18561,-0.00097,0.01874,-0.01600,1
26/6/2000,0.00649,2.00000,0.50329,0.40340,0.02692,0.76508,0.00836,0.02885,15726.12012,15978.91016,1.00000,0.00000,1.00000,0.45660,-0.15824,-0.24818,-0.00007,0.01774,-0.03548,1
27/6/2000,-0.02143,0.00000,0.67070,0.87097,0.02885,0.13336,0.00844,0.03789,16147.13965,16155.76953,0.00000,1.00000,0.00000,0.50938,-0.15776,-0.29596,0.00094,0.01669,-0.03234,1
28/6/2000,-0.00400,1.00000,0.35357,0.13336,0.03789,0.79192,0.00691,0.01926,16202.16016,16438.41992,0.00000,1.00000,0.00000,0.46816,-0.29523,-0.40676,-0.00596,0.02099,-0.02163,1
29/6/2000,-0.00534,0.00000,0.36101,0.79192,0.01926,0.23658,0.00226,0.03663,16474.40039,16286.79981,0.00000,1.00000,0.00000,0.16663,-0.25969,-0.37648,-0.00768,0.01302,0.01239,1
30/6/2000,0.02004,1.00000,0.00838,0.10313,0.03663,0.84066,-0.00675,0.01950,16142.34961,16155.78027,0.00000,1.00000,0.00000,-0.70177,0.16165,-0.18130,-0.00167,-0.01217,0.00050,1
3/7/2000,-0.00166,2.00000,0.12658,0.96953,0.01950,0.65110,-0.01341,0.02243,16177.05957,16124.96973,0.00000,1.00000,0.00000,-2.42552,0.07848,-0.20159,-0.01081,-0.01617,-0.01260,1
4/7/2000,-0.02682,1.00000,0.11363,0.66021,0.02243,0.92349,-0.01069,0.02877,16131.76953,16235.75977,1.00000,0.00000,1.00000,-2.65540,-0.16756,-0.03299,-0.01621,-0.00476,-0.01673,1
5/7/2000,-0.01543,0.00000,0.46181,0.93064,0.02877,0.44336,-0.00352,0.01110,16275.33008,16474.26953,0.00000,0.00000,1.00000,-1.00128,-0.09543,-0.02444,-0.00635,-0.00049,-0.05026,1
6/7/2000,0.00573,2.00000,0.44423,-0.22471,0.01110,0.06449,-0.00452,0.02495,16396.08008,16489.58984,0.00000,1.00000,0.00000,-2.61356,-0.03733,-0.19863,-0.00550,-0.00349,0.00350,1
7/7/2000,0.00666,1.00000,0.05632,0.06449,0.02495,0.14107,-0.00891,0.02262,16631.85938,16829.96094,0.00000,1.00000,0.00000,29.39662,0.18317,0.07027,-0.00351,-0.01463,0.09333,1
10/7/2000,0.07495,1.00000,-0.02615,0.26778,0.02262,0.22296,-0.01184,0.02280,17024.46094,17238.66992,0.00000,0.00000,1.00000,6.95002,0.08597,0.04544,-0.00902,-0.01482,0.10105,1
11/7/2000,0.00840,2.00000,0.12726,0.22296,0.02280,0.91099,-0.01034,0.02914,17259.94922,17359.66016,0.00000,1.00000,0.00000,11.78362,-0.02010,0.15939,-0.01067,-0.00999,0.11419,1
12/7/2000,0.03681,0.00000,0.29289,1.11062,0.02914,0.90055,-0.00065,0.07706,17466.98047,17552.25977,1.00000,0.00000,1.00000,-0.20565,-0.10929,-0.03271,-0.00408,0.00300,0.06039,1
13/7/2000,-0.02280,0.00000,1.47311,1.30071,0.07706,0.14242,0.00916,0.03465,17808.69922,17449.50000,1.00000,0.00000,1.00000,1.62083,0.67464,0.64097,0.03117,-0.01439,-0.00484,1
14/7/2000,-0.02096,1.00000,1.01925,0.44818,0.03465,0.95870,0.01655,0.03177,17508.61914,17586.16016,1.00000,0.00000,1.00000,3.52478,1.65811,1.36762,0.06287,-0.03255,0.02554,1
17/7/2000,0.03955,0.00000,1.07043,0.96868,0.03177,0.28042,0.01877,0.03217,17736.61914,17834.77930,0.00000,1.00000,0.00000,7.63274,0.54297,1.58392,0.04692,-0.01276,0.12505,1
18/7/2000,0.08232,1.00000,0.80895,0.12254,0.03217,0.19162,0.01244,0.02242,17766.46094,17440.83008,0.00000,1.00000,0.00000,15.43643,0.18404,2.14732,0.02455,-0.00166,0.15826,1
19/7/2000,0.03651,1.00000,0.65102,0.30707,0.02242,0.98212,0.01242,0.04216,17462.11914,17710.07031,1.00000,0.00000,1.00000,2.77723,0.07826,0.66373,0.01763,0.00623,0.13189,1
20/7/2000,0.02273,0.00000,0.82038,1.01482,0.04216,0.94683,0.02802,0.08542,17702.68945,17758.50977,1.00000,0.00000,1.00000,2.36579,0.14502,0.35576,0.03757,0.01662,0.08305,1
21/7/2000,-0.04166,0.00000,1.12583,1.14760,0.08542,0.58064,0.04478,0.03536,18022.81055,17920.85938,1.00000,0.00000,1.00000,2.45887,0.52054,0.63954,0.08467,-0.00315,-0.03209,1
24/7/2000,-0.00361,0.00000,1.01323,0.45295,0.03536,0.43929,0.05158,0.07039,17866.27930,17659.68945,1.00000,0.00000,1.00000,2.50792,0.59370,0.82482,0.10037,-0.00793,-0.08161,1
25/7/2000,-0.02629,0.00000,0.94322,0.37956,0.07039,0.13710,0.04696,0.04774,17574.32031,17375.33984,0.00000,1.00000,0.00000,2.42548,0.09918,0.67135,0.05310,0.03894,-0.07089,1
26/7/2000,-0.02624,1.00000,0.72937,0.23527,0.04774,0.08976,0.03345,0.03998,17476.41992,17620.23047,0.00000,1.00000,0.00000,1.93339,-0.12050,0.40166,0.01338,0.06059,-0.02918,1
27/7/2000,0.01795,1.00000,0.68322,-0.10112,0.03998,0.12342,0.02234,0.03001,17442.10938,17450.08984,0.00000,1.00000,0.00000,1.38079,-0.10794,-0.01947,0.00636,0.04352,0.03185,1
28/7/2000,0.05715,1.00000,0.54045,0.05350,0.03001,0.43367,0.01245,0.05025,17429.73047,17183.92969,0.00000,1.00000,0.00000,0.86709,-0.07584,-0.18720,0.00246,0.02535,0.07935,1
31/7/2000,-0.01488,1.00000,0.41534,0.39138,0.05025,0.78914,0.01024,0.05702,16977.69922,16840.98047,0.00000,1.00000,0.00000,0.72099,-0.09231,-0.19029,-0.00091,0.02449,0.09751,1
1/8/2000,0.01760,0.00000,0.45841,0.91569,0.05702,0.99583,0.02178,0.05601,17014.43945,16897.44922,1.00000,0.00000,1.00000,1.24985,-0.17563,-0.23815,0.00119,0.04779,0.06963,1
