Date, N+1 Close ,Yesterday's sign,%b of prior day close,Open Position to yesterday's range,N-1 Magnitude,N Close / N's range,10-MA,N Magnitude, HSI Open (N) , HSI Close (N) ,Close Above yesterday's DH,DL Lower than yesterday's DL,DL Higher than yesterday's DL,Deviation of 10-MA / 20-MA slopes
9/3/2000," 1,517 ",0,0.842167259,0.675233138,0.033953014,0.077991154,-0.003441974,0.035025097," 18,032 "," 17,637 ",0,0,1,0.378100734
10/3/2000," 1,515 ",1,0.777124561,0.203593829,0.035025097,0.512004478,0.000230944,0.042913309," 17,728 "," 17,832 ",0,1,0,-0.035748241
13/3/2000," 1,541 ",2,0.753584654,0.531273628,0.042913309,0.593074742,0.008962036,0.030472289," 17,651 "," 17,097 ",0,0,1,-4.588387322
14/3/2000," 1,577 ",0,0.808283355,0.725542306,0.030472289,0.3775666,0.015917075,0.052280726," 17,126 "," 16,929 ",1,0,1,6.880470843
15/3/2000," 1,528 ",0,0.875581812,0.359262083,0.052280726,0.122189936,0.016188471,0.036980325," 16,847 "," 16,747 ",0,1,0,15.93753858
16/3/2000," 1,473 ",1,0.609983211,0.133343242,0.036980325,0.097069001,0.012975296,0.045971755," 16,775 "," 16,359 ",0,1,0,-3.529413745
17/3/2000," 1,516 ",1,0.295969376,0.194136252,0.045971755,1,0.010483132,0.024089971," 16,688 "," 17,083 ",0,0,1,-1.19695314
20/3/2000," 1,468 ",0,0.474075638,0.903785369,0.024089971,0.187317351,0.005894266,0.036188304," 16,879 "," 17,234 ",0,1,0,-0.520394003
21/3/2000," 1,451 ",1,0.063152613,0.207236331,0.036188304,0.255082215,-0.004700363,0.027466341," 17,253 "," 17,200 ",0,1,0,0.495816126
22/3/2000," 1,441 ",1,0.032216246,0.364896824,0.027466341,0.187950767,-0.011445751,0.021904681," 17,419 "," 17,547 ",0,1,0,1.404523018
23/3/2000," 1,466 ",1,0.082772996,0.187950767,0.021904681,1,-0.009632964,0.017241116," 17,705 "," 17,716 ",0,0,1,1.46405573
24/3/2000," 1,471 ",0,0.291352146,1.162642694,0.017241116,0.544527134,-0.00632958,0.013295898," 17,768 "," 17,785 ",1,0,1,2.050067636
27/3/2000," 1,493 ",2,0.358242855,0.415559339,0.013295898,0.82018653,-0.00607883,0.020372259," 17,828 "," 18,293 ",1,0,1,-4.461289864
28/3/2000," 1,535 ",0,0.534406932,0.82018653,0.020372259,0.98143416,-0.006026294,0.031382257," 18,273 "," 18,302 ",1,0,1,-1.241565912
29/3/2000," 1,510 ",0,0.986979614,0.905461899,0.031382257,0.155880502,-0.004073314,0.027655466," 18,203 "," 18,096 ",0,0,1,-0.675822878
30/3/2000," 1,528 ",1,0.810351769,0.155880502,0.027655466,0.623561432,0.002513528,0.02361398," 18,011 "," 17,467 ",0,0,1,0.323998128
31/3/2000," 1,515 ",0,0.892290467,0.601684672,0.02361398,0.259244684,0.003677048,0.01787826," 17,384 "," 17,407 ",0,0,1,0.517591399
3/4/2000," 1,473 ",1,0.736633565,0.370560906,0.01787826,0.265429051,0.000289033,0.044406897," 17,444 "," 16,893 ",0,1,0,0.092835413
5/4/2000," 1,407 ",1,0.366138837,0.131453975,0.044406897,0.16495099,-0.00258871,0.046431286," 16,599 "," 16,318 ",0,1,0,0.708155014
6/4/2000," 1,467 ",1,-0.027298452,0.16495099,0.046431286,1,-0.001181352,0.042525484," 16,416 "," 16,491 ",1,0,1,0.185522211
7/4/2000," 1,504 ",0,0.377351835,1.084906564,0.042525484,1,0.004319429,0.021626193," 16,658 "," 16,942 ",1,0,1,-1.586699022
10/4/2000," 1,510 ",0,0.585944753,1.046496305,0.021626193,0.759940252,0.005150828,0.017048189," 17,038 "," 16,851 ",1,0,1,-8.303686496
11/4/2000," 1,538 ",2,0.598100452,0.846065294,0.017048189,0.633693247,0.005601365,0.042794734," 16,683 "," 16,488 ",1,0,1,-22.16419717
12/4/2000," 1,531 ",0,0.743010419,0.578516402,0.042794734,0.079742186,0.002740924,0.020265587," 16,391 "," 16,577 ",0,0,1,-1.67014656
13/4/2000," 1,511 ",2,0.682652771,-0.033441828,0.020265587,0.411235998,-0.000165495,0.017485462," 16,345 "," 16,353 ",0,1,0,0.078334674
14/4/2000," 1,597 ",1,0.573560444,0.357675825,0.017485462,0.95446466,0.004686562,0.070690067," 16,254 "," 16,143 ",1,1,0,1.299944422
17/4/2000," 1,470 ",0,1.028581271,0.371029542,0.070690067,0.236749097,0.001570479,0.055567442," 15,306 "," 14,762 ",0,1,0,0.599861046
18/4/2000," 1,626 ",1,0.317327572,0.506097081,0.055567442,0.931149345,0.007183404,0.095947371," 15,158 "," 15,278 ",1,0,1,1.912356055
19/4/2000," 1,613 ",0,1.143775173,1.077926859,0.095947371,0.074989031,0.023924707,0.043237214," 15,559 "," 15,427 ",0,0,1,2.23059324
20/4/2000," 1,599 ",1,0.867733531,0.056734184,0.043237214,0.301127568,0.022311442,0.027491652," 15,426 "," 15,367 ",0,1,0,2.090290148
25/4/2000," 1,621 ",1,0.750912693,0.098193481,0.027491652,0.642533746,0.016250942,0.036045597," 15,336 "," 15,380 ",0,1,0,1.564184188
26/4/2000," 1,604 ",0,0.786446427,0.96440969,0.036045597,0.150413382,0.013625879,0.050165913," 15,581 "," 15,227 ",0,0,1,1.437806667
27/4/2000," 1,565 ",1,0.649909705,0.14202402,0.050165913,0.098543684,0.007710556,0.039821794," 15,225 "," 15,193 ",0,1,0,1.154169715
28/4/2000," 1,573 ",1,0.458541884,0.117029236,0.039821794,0.528676412,0.004419797,0.02917261," 15,291 "," 15,519 ",0,1,0,1.227239477
2/5/2000," 1,602 ",2,0.479486043,0.846978972,0.02917261,0.70060645,0.008505682,0.039458708," 15,751 "," 15,818 ",1,0,1,1.989184327
3/5/2000," 1,560 ",0,0.573860101,0.593201785,0.039458708,0.058898367,0.003445869,0.034160283," 15,695 "," 15,577 ",0,1,0,0.850802815
4/5/2000," 1,576 ",1,0.381742366,-0.096513945,0.034160283,0.904357024,0.004397199,0.029574949," 15,439 "," 15,314 ",0,1,0,1.453883848
5/5/2000," 1,576 ",0,0.363499373,0.74270038,0.029574949,0.702690926,0.003530049,0.013037903," 15,299 "," 15,269 ",0,0,1,0.664728303
8/5/2000," 1,525 ",2,0.3508028,0.726161936,0.013037903,0.048435194,-0.00866868,0.041002274," 15,338 "," 14,901 ",0,1,0,-1.214644558
9/5/2000," 1,537 ",1,-0.118924298,0.038995624,0.041002274,0.604280284,-0.00940991,0.021452097," 14,855 "," 14,777 ",0,1,0,-1.548111406
10/5/2000," 1,579 ",0,0.118803961,0.582875103,0.021452097,0.922205871,-0.006585109,0.039648565," 14,653 "," 14,493 ",1,0,1,-1.409077183
12/5/2000," 1,746 ",0,0.59694196,1.169540284,0.039648565,0.973304876,0.006356164,0.100133071," 14,439 "," 15,112 ",1,0,1,0.63798092
15/5/2000," 1,809 ",0,2.267858423,0.984458568,0.100133071,0.681685911,0.024643307,0.055112475," 15,118 "," 14,881 ",1,0,1,1.521281043
16/5/2000," 1,895 ",0,1.255531595,0.861088087,0.055112475,0.738128188,0.035728042,0.058918275," 14,962 "," 15,160 ",1,0,1,1.77411329
17/5/2000," 1,854 ",0,1.119681008,0.864789198,0.058918275,0.090396901,0.035632613,0.03727011," 15,293 "," 14,828 ",0,0,1,1.603802381
18/5/2000," 1,902 ",1,0.86393293,-0.034163543,0.03727011,0.689991211,0.036136541,0.061193421," 14,689 "," 14,323 ",0,1,0,1.79698942
19/5/2000," 1,875 ",0,0.856570582,0.686536695,0.061193421,0.062530238,0.038435027,0.042730678," 14,339 "," 14,478 ",0,0,1,1.760800468
22/5/2000," 1,829 ",1,0.740434127,0.051821288,0.042730678,0.084376015,0.032492987,0.039272027," 14,279 "," 14,141 ",0,1,0,1.753963928
23/5/2000," 1,746 ",1,0.62247289,0.107881161,0.039272027,0.160452902,0.027407259,0.064621356," 14,117 "," 14,257 ",0,1,0,2.711909939
24/5/2000," 1,693 ",1,0.442258979,0.003297099,0.064621356,0.33142218,0.021422068,0.031323082," 14,116 "," 13,934 ",0,1,0,3.163284978
25/5/2000," 1,631 ",1,0.28517124,0.891682281,0.031323082,0.061470752,0.01167524,0.073364192," 14,082 "," 13,921 ",0,1,0,3.789601469
26/5/2000," 1,628 ",1,0.074268523,0.041850642,0.073364192,0.336014663,-0.003635486,0.030556484," 13,845 "," 13,723 ",0,1,0,-3.509870637
29/5/2000," 1,683 ",2,0.081822176,0.544616008,0.030556484,0.974956959,-0.013561819,0.042396862," 13,735 "," 13,975 ",1,0,1,-3.193683054
30/5/2000," 1,657 ",0,0.282854965,0.982441417,0.042396862,0.40228642,-0.020385854,0.040520368," 14,044 "," 13,991 ",0,0,1,-3.404549136
31/5/2000," 1,695 ",1,0.28270377,0.723060756,0.040520368,0.552709677,-0.022369829,0.022317443," 14,438 "," 14,714 ",0,0,1,-4.289074086
1/6/2000," 1,754 ",0,0.400870341,0.552709677,0.022317443,0.888922164,-0.017521477,0.039199918," 14,653 "," 14,941 ",1,0,1,-2.075143314
2/6/2000," 1,832 ",0,0.598010193,1.181066218,0.039199918,1,-0.01100019,0.035187256," 15,166 "," 15,284 ",1,0,1,-0.83195388
5/6/2000," 1,839 ",0,0.913052753,1.379967178,0.035187256,0.285188199,-0.001927839,0.036602543," 15,644 "," 15,862 ",1,0,1,-0.12695087
7/6/2000," 1,886 ",1,0.93787257,0.214223183,0.036602543,0.827319312,0.008774629,0.040040313," 15,783 "," 15,900 ",0,0,1,0.483945512
8/6/2000," 1,852 ",0,0.972803702,0.90657781,0.040040313,0.152922844,0.017493633,0.029100062," 15,912 "," 15,877 ",0,0,1,0.898026127
9/6/2000," 1,884 ",1,0.780782608,0.13167469,0.029100062,0.849834393,0.023865715,0.026082509," 15,841 "," 16,120 ",0,1,0,1.349244224
12/6/2000," 1,888 ",0,0.789310732,0.85604661,0.026082509,0.618765046,0.029374062,0.01244399," 16,126 "," 16,055 ",0,0,1,2.321951926
13/6/2000," 1,875 ",2,0.735085666,0.398293625,0.01244399,0.133655321,0.02551659,0.02209427," 15,948 "," 15,693 ",0,1,0,4.376270614
14/6/2000," 1,884 ",2,0.667713309,0.252644623,0.02209427,0.565833194,0.023321056,0.019147918," 15,761 "," 15,857 ",0,1,0,15.20131047
15/6/2000," 1,937 ",2,0.65662114,0.587500667,0.019147918,0.94416695,0.025802278,0.02974608," 15,942 "," 16,080 ",1,0,1,12.88030362
16/6/2000," 2,012 ",0,0.819709898,1.013914185,0.02974608,0.749360843,0.027176955,0.052404285," 16,089 "," 16,434 ",1,0,1,5.048241097
19/6/2000," 2,050 ",0,1.19461805,0.696361653,0.052404285,0.585505135,0.025539724,0.036925774," 16,333 "," 16,267 ",1,0,1,3.222034972
20/6/2000," 1,985 ",0,1.115892869,0.730868966,0.036925774,0.241781567,0.01928067,0.054032465," 16,467 "," 16,087 ",0,1,0,2.101281669
21/6/2000," 1,944 ",1,0.757507423,0.281210525,0.054032465,0.047798197,0.010651701,0.024188681," 16,071 "," 16,238 ",0,1,0,1.090927318
22/6/2000," 1,949 ",1,0.55681673,0.2464669,0.024188681,0.345993166,0.008020026,0.023188797," 16,227 "," 15,952 ",0,1,0,0.642416414
23/6/2000," 1,948 ",2,0.541619944,0.227203138,0.023188797,0.409133002,0.008322486,0.026918979," 15,827 "," 15,738 ",0,1,0,0.531217462
26/6/2000," 1,987 ",2,0.503293085,0.403401543,0.026918979,0.765081719,0.008361208,0.02885374," 15,726 "," 15,979 ",1,0,1,0.456601698
27/6/2000," 1,941 ",0,0.67070431,0.870973627,0.02885374,0.1333591,0.008443304,0.037894076," 16,147 "," 16,156 ",0,1,0,0.509377678
28/6/2000," 1,953 ",1,0.353567381,0.1333591,0.037894076,0.791922255,0.006913731,0.019264763," 16,202 "," 16,438 ",0,1,0,0.468162426
29/6/2000," 1,912 ",0,0.361005701,0.791922255,0.019264763,0.236583942,0.002261722,0.036632781," 16,474 "," 16,287 ",0,1,0,0.166630507
30/6/2000," 1,904 ",1,0.008379389,0.103130401,0.036632781,0.84065677,-0.006754622,0.0195002," 16,142 "," 16,156 ",0,1,0,-0.701771806
3/7/2000," 1,894 ",2,0.126584186,0.969533404,0.0195002,0.651098541,-0.013413217,0.022433855," 16,177 "," 16,125 ",0,1,0,-2.425523956
4/7/2000," 1,932 ",1,0.11363287,0.660206796,0.022433855,0.923485431,-0.010693884,0.028772496," 16,132 "," 16,236 ",1,0,1,-2.655403148
5/7/2000," 1,929 ",0,0.461808544,0.93064167,0.028772496,0.443358122,-0.003515679,0.01110177," 16,275 "," 16,474 ",0,0,1,-1.001282131
6/7/2000," 1,877 ",2,0.444232951,-0.224712355,0.01110177,0.064490733,-0.004523141,0.024950507," 16,396 "," 16,490 ",0,1,0,-2.613557708
7/7/2000," 1,848 ",1,0.056324447,0.064490733,0.024950507,0.141073441,-0.008912204,0.022623658," 16,632 "," 16,830 ",0,1,0,29.39661957
10/7/2000," 1,858 ",1,-0.02615094,0.2677808,0.022623658,0.222959621,-0.011836534,0.022798157," 17,024 "," 17,239 ",0,0,1,6.950015908
11/7/2000," 1,871 ",2,0.12726312,0.222959621,0.022798157,0.910989035,-0.010342522,0.02913751," 17,260 "," 17,360 ",0,1,0,11.78362076
12/7/2000," 2,011 ",0,0.292886406,1.110618416,0.02913751,0.900545403,-0.000654166,0.077055936," 17,467 "," 17,552 ",1,0,1,-0.205646982
13/7/2000," 2,028 ",0,1.473107591,1.30071109,0.077055936,0.142420022,0.00916485,0.03464889," 17,809 "," 17,450 ",1,0,1,1.620830405
14/7/2000," 2,103 ",1,1.019248257,0.448181803,0.03464889,0.958698898,0.016546851,0.031773213," 17,509 "," 17,586 ",1,0,1,3.524778318
17/7/2000," 2,055 ",0,1.070425873,0.968677432,0.031773213,0.280415166,0.018769993,0.032165132," 17,737 "," 17,835 ",0,1,0,7.632736455
18/7/2000," 2,012 ",1,0.808950955,0.122541226,0.032165132,0.191619729,0.012437596,0.022417522," 17,766 "," 17,441 ",0,1,0,15.43642841
19/7/2000," 2,091 ",1,0.651016189,0.307069514,0.022417522,0.982123765,0.012424246,0.042160088," 17,462 "," 17,710 ",1,0,1,2.777233432
20/7/2000," 2,263 ",0,0.820380022,1.014815521,0.042160088,0.946829899,0.028024912,0.085420424," 17,703 "," 17,759 ",1,0,1,2.365789319
21/7/2000," 2,346 ",0,1.125828232,1.147600845,0.085420424,0.580639345,0.044776273,0.035356717," 18,023 "," 17,921 ",1,0,1,2.458869174
24/7/2000," 2,399 ",0,1.013226262,0.452946861,0.035356717,0.439293831,0.051580311,0.070392445," 17,866 "," 17,660 ",1,0,1,2.507917653
25/7/2000," 2,299 ",0,0.943218591,0.379562595,0.070392445,0.137096027,0.046962983,0.047744731," 17,574 "," 17,375 ",0,1,0,2.425477991
26/7/2000," 2,291 ",1,0.729365747,0.235272467,0.047744731,0.089757789,0.033446714,0.03997529," 17,476 "," 17,620 ",0,1,0,1.933387533
27/7/2000," 2,231 ",1,0.683220469,-0.101124222,0.03997529,0.123423125,0.022340255,0.030009224," 17,442 "," 17,450 ",0,1,0,1.380786095
28/7/2000," 2,172 ",1,0.540446497,0.053501972,0.030009224,0.433666755,0.012445737,0.050253203," 17,430 "," 17,184 ",0,1,0,0.867093814
31/7/2000," 2,211 ",1,0.415342296,0.391381966,0.050253203,0.789141189,0.010238126,0.057021228," 16,978 "," 16,841 ",0,1,0,0.720988297
1/8/2000," 2,338 ",0,0.458405453,0.915689663,0.057021228,0.995830499,0.021775753,0.056008608," 17,014 "," 16,897 ",1,0,1,1.24985183
2/8/2000," 2,303 ",0,0.67258242,1.135743545,0.056008608,0.082591176,0.024092179,0.038611764," 16,899 "," 17,277 ",0,0,1,1.291844184
3/8/2000," 2,343 ",1,0.550413042,0.064006085,0.038611764,0.720554466,0.012882321,0.02545787," 17,272 "," 17,274 ",0,0,1,0.647137493
4/8/2000," 2,370 ",0,0.664936499,0.868043651,0.02545787,0.782370345,0.004567938,0.020885189," 17,331 "," 17,426 ",1,0,1,0.196815238
7/8/2000," 2,413 ",0,0.735868168,1.121946366,0.020885189,0.687340132,0.001675765,0.022631874," 17,539 "," 17,727 ",1,0,1,0.067004857
8/8/2000," 2,361 ",0,0.83924139,0.815068743,0.022631874,0.084636513,0.003321408,0.029047688," 17,728 "," 17,212 ",0,1,0,0.138502114
9/8/2000," 2,330 ",1,0.659268227,0.24893297,0.029047688,0.413767921,0.004410308,0.051973097," 17,306 "," 17,182 ",0,1,0,0.240490794
10/8/2000," 2,344 ",1,0.562615183,0.54439188,0.051973097,0.335041988,0.006625172,0.024908657," 17,235 "," 17,333 ",0,0,1,0.465528274
11/8/2000," 2,331 ",2,0.56952074,0.40331704,0.024908657,0.18883327,0.011815798,0.021357107," 17,364 "," 17,214 ",0,1,0,0.974703277
14/8/2000," 2,287 ",1,0.489588357,0.241473313,0.021357107,0.212057987,0.010113449,0.028428121," 17,245 "," 16,998 ",0,1,0,0.994021416
15/8/2000," 2,232 ",1,0.199320432,0.251996165,0.028428121,0.290948047,-0.001274356,0.034938725," 17,030 "," 17,464 ",0,1,0,-0.128073729
16/8/2000," 2,314 ",1,-0.025641512,0.269192728,0.034938725,0.88192084,-0.004005046,0.0450262," 17,440 "," 17,734 ",1,0,1,-0.412719556
17/8/2000," 2,358 ",0,0.413267307,0.931701832,0.0450262,0.642370151,0.001104421,0.025972057," 17,710 "," 17,622 ",1,0,1,0.159899576
18/8/2000," 2,336 ",0,0.609150716,0.761246363,0.025972057,0.204425646,-0.000832091,0.023891277," 17,698 "," 17,440 ",0,0,1,-0.452170853
21/8/2000," 2,306 ",1,0.526193548,0.205307133,0.023891277,0.177158765,-0.006040839,0.020463132," 17,432 "," 17,501 ",0,1,0,2.72528985
22/8/2000," 2,292 ",1,0.425722379,0.395108004,0.020463132,0.449610635,-0.007556878,0.018933374," 17,568 "," 17,668 ",0,1,0,3.500339611
23/8/2000," 2,209 ",1,0.375153411,0.668490579,0.018933374,0.032008357,-0.008211161,0.04193728," 17,709 "," 17,427 ",0,1,0,4.250706002
24/8/2000," 2,231 ",1,0.023669758,0.074268895,0.04193728,0.216778375,-0.010127911,0.039111669," 17,463 "," 17,440 ",0,0,1,5.72487426
25/8/2000," 2,250 ",0,0.204349912,0.44904194,0.039111669,0.415508898,-0.008452983,0.032538312," 17,348 "," 17,237 ",0,0,1,-4.986315145
28/8/2000," 2,270 ",2,0.330311341,0.414962365,0.032538312,0.712113716,-0.004291856,0.019301603," 17,221 "," 17,020 ",0,0,1,-1.451920325
29/8/2000," 2,256 ",0,0.447243149,0.71303585,0.019301603,0.200257428,0.000327413,0.030665245," 17,062 "," 17,240 ",0,0,1,-0.678341618
30/8/2000," 2,251 ",1,0.355372932,0.025715217,0.030665245,0.567694022,-0.001700984,0.020273582," 17,211 "," 17,096 ",0,1,0,0.592984007
31/8/2000," 2,202 ",2,0.361372758,0.572528549,0.020273582,0.33970865,-0.009585675,0.033444987," 17,071 "," 17,098 ",0,1,0,2.291283925
1/9/2000," 2,257 ",1,0.174263705,0.432537142,0.033444987,0.987187397,-0.010319951,0.024733617," 17,210 "," 17,334 ",1,0,1,1.870345471
4/9/2000," 2,286 ",0,0.535009104,1.030205941,0.024733617,0.777235669,-0.004403237,0.017182863," 17,421 "," 17,726 ",1,0,1,0.841086525
5/9/2000," 2,261 ",0,0.811882833,1.032191742,0.017182863,0.047456907,-0.00233074,0.017992423," 17,754 "," 17,595 ",0,0,1,0.467230789
6/9/2000," 2,235 ",1,0.629276008,0.389101692,0.017992423,0.127369855,-0.00023906,0.019950271," 17,586 "," 17,605 ",0,1,0,0.05577965
7/9/2000," 2,216 ",1,0.351107815,0.114807703,0.019950271,0.21016786,0.000494834,0.016460219," 17,557 "," 17,432 ",0,1,0,-0.101125659
8/9/2000," 2,182 ",1,0.179547683,0.178087108,0.016460219,0.266020755,-0.003674395,0.0237442," 17,441 "," 17,275 ",0,1,0,0.603299207
11/9/2000," 2,095 ",1,0.023432303,0.179310876,0.0237442,0.084465419,-0.010765206,0.041534052," 17,199 "," 17,008 ",0,1,0,1.435542182
12/9/2000," 2,019 ",1,-0.12690403,-0.12581684,0.041534052,0.397172596,-0.018373724,0.051454561," 16,942 "," 16,630 ",0,1,0,2.055066394
14/9/2000," 2,013 ",1,-0.022351702,0.352054671,0.051454561,0.205071405,-0.021395579,0.034058071," 16,543 "," 16,395 ",0,0,1,1.872455049
15/9/2000," 2,041 ",2,0.096284375,0.208277512,0.034058071,0.935186895,-0.018149113,0.025910223," 16,382 "," 16,250 ",0,1,0,1.316179328
18/9/2000," 1,947 ",0,0.237087873,0.869414077,0.025910223,0.070554216,-0.021628126,0.047715787," 16,011 "," 15,560 ",0,1,0,1.364740522
19/9/2000," 1,923 ",1,0.139595276,-0.009358348,0.047715787,0.768606399,-0.03114693,0.037544826," 15,354 "," 15,677 ",0,1,0,1.782577503
20/9/2000," 1,935 ",1,0.187885665,0.80444965,0.037544826,0.388434793,-0.032320436,0.026769671," 15,758 "," 15,666 ",0,0,1,1.911922751
21/9/2000," 1,850 ",2,0.253810138,0.282304025,0.026769671,0.195973309,-0.033936894,0.051222768," 15,445 "," 15,164 ",0,1,0,2.059512613
22/9/2000," 1,788 ",1,0.151561003,0.000910209,0.051222768,0.24289862,-0.039437795,0.0432638," 14,967 "," 14,613 ",0,1,0,2.119545988
25/9/2000," 1,839 ",1,0.096877122,0.500568666,0.0432638,0.955228707,-0.038107545,0.025687429," 14,894 "," 15,429 ",0,0,1,1.907929098
26/9/2000," 1,904 ",0,0.239141593,0.840292063,0.025687429,0.768563357,-0.026988048,0.06160447," 15,305 "," 15,291 ",1,0,1,1.469889521
27/9/2000," 1,882 ",0,0.435398909,0.669085598,0.06160447,0.200196461,-0.016891055,0.016152269," 15,074 "," 15,444 ",0,0,1,0.955112104
28/9/2000," 1,892 ",1,0.405920367,0.220150209,0.016152269,0.505635782,-0.013363615,0.02827778," 15,465 "," 15,416 ",0,1,0,0.75636816
29/9/2000," 1,933 ",2,0.470983658,0.61908278,0.02827778,0.83577038,-0.01195864,0.021618909," 15,633 "," 15,649 ",1,0,1,0.783106902
3/10/2000," 1,971 ",0,0.699521091,0.83577038,0.021618909,0.932118348,-0.004481542,0.035749009," 15,586 "," 15,726 ",1,0,1,0.328656727
4/10/2000," 1,981 ",0,0.90087232,0.932118348,0.035749009,0.329422098,0.004309338,0.029837984," 15,671 "," 15,879 ",1,0,1,-0.295047497
5/10/2000," 1,938 ",0,0.847545633,0.355951655,0.029837984,0.13629235,0.00324573,0.038751764," 16,055 "," 16,185 ",0,1,0,-0.208208537
9/10/2000," 1,879 ",1,0.665380817,0.062743418,0.038751764,0.147831216,0.00168904,0.032689476," 16,047 "," 15,694 ",0,1,0,-0.099370754
10/10/2000," 1,864 ",1,0.409094962,0.217157106,0.032689476,0.07714928,0.005528331,0.023607853," 15,739 "," 15,554 ",0,1,0,-0.309201308
11/10/2000," 1,828 ",1,0.276792291,0.080971191,0.023607853,0.20677076,0.003388162,0.026922638," 15,377 "," 15,127 ",0,1,0,-0.188210822
12/10/2000," 1,836 ",1,0.062280438,0.189440165,0.026922638,0.74138567,-0.004173233,0.028596135," 15,072 "," 15,075 ",0,1,0,0.264311148
13/10/2000," 1,791 ",2,0.169706013,0.520292098,0.028596135,0.290936004,-0.008337459,0.037792665," 14,680 "," 14,681 ",0,1,0,0.658755761
16/10/2000," 1,807 ",1,0.077952168,0.654243069,0.037792665,0.008457611,-0.009305995,0.022785718," 15,186 "," 14,973 ",0,0,1,0.82002911
